settlement,region,population
Верхоречье,Республика Крым,1126
Высокое,Краснодарский край,4245
Залукодес,Кабардино-Балкарская республика,1624
Батайск,Ростовская область,124705
Малмыж,Кировская область,7989
Кировское,Республика Адыгея,6095
Чишмы,Республика Башкортостан,25410
Трубчевск,Брянская область,13695
Мулымья,Ханты-Мансийский автономный округ - Югра,1217
Дворцы,Калужская область,1005
Белозерный,Ростовская область,1229
Аксарка,Ямало-Ненецкий автономный округ,4990
Липицы,Московская область,2514
Урожайное,Кабардино-Балкарская республика,1995
Рудник Кадала,Забайкальский край,3012
Антоньевка,Алтайский край,1415
Новослободск,Калужская область,1445
Кулой,Архангельская область,5071
Тарутино,Красноярский край,1318
Восточный,Кировская область,5684
Цаган Аман,Республика Калмыкия,5760
Оленевка,Республика Крым,1441
Поварово,Московская область,7985
Кутейниково,Ростовская область,1598
Рафайлово,Тюменская область,1209
Левженский,Республика Мордовия,1077
Гапцах,Республика Дагестан,3471
Убинское,Новосибирская область,5223
Андреевка,Саратовская область,1141
Учалы,Республика Башкортостан,41453
Ведено,Чеченская республика,3427
Саранпауль,Ханты-Мансийский автономный округ - Югра,2408
Ильинов,Ростовская область,1129
Новодугино,Смоленская область,3841
Ононское,Забайкальский край,1175
Балабаново,Калужская область,27396
Каргаполье,Курганская область,8764
Вязники,Владимирская область,36635
Ополье,Ленинградская область,1536
Самарский,Самарская область,1019
Болохово,Тульская область,8871
Шеми,Республика Тыва,1127
Шацк,Рязанская область,6029
Таловая,Воронежская область,11315
Никологоры,Владимирская область,4977
Ижморский,Кемеровская область,4735
Новая Чемровка,Алтайский край,1957
Украинский,Краснодарский край,1502
Шугарово,Московская область,1704
Блечепсин,Республика Адыгея,3084
Корсаково,Орловская область,1159
Борки,Рязанская область,1334
Армянский,Краснодарский край,1509
Совхозный,Удмуртская республика,1352
Средний Маныч,Ростовская область,1062
Унэгэтэй,Республика Бурятия,1189
Мичуринский,Ростовская область,1101
Березово,Кемеровская область,3658
Квиток,Иркутская область,2643
Покров,Владимирская область,17309
Кузино,Свердловская область,2854
Истобное,Белгородская область,1463
Луховка,Республика Мордовия,8234
Ачаирский,Омская область,2440
Минское,Костромская область,1858
Новый Некоуз,Ярославская область,3313
Динская,Краснодарский край,40252
Дьячево,Ивановская область,1407
Веденка,Приморский край,1483
Губкин,Белгородская область,87083
Сосновый Бор,Иркутская область,1721
Лебяжье,Астраханская область,1041
Красный Гуляй,Ульяновская область,2758
Октябрьский,Удмуртская республика,7129
Ивантеевка,Московская область,58626
Дудинка,Красноярский край,22175
Березово,Ханты-Мансийский автономный округ - Югра,8016
Кавказское,Красноярский край,1123
Искра,Курская область,1090
Солнечный,Севастополь,1505
Малышево,Московская область,1151
Селявное,Воронежская область,1255
Армянск,Республика Крым,24587
Муслюмово,Республика Татарстан,8425
Воскресенск,Московская область,91464
Малороссийский,Краснодарский край,1704
Касумкент,Республика Дагестан,11795
Дубовый Умет,Самарская область,3539
Красное,Воронежская область,3050
Юктали,Амурская область,1203
Мокроусово,Курганская область,4500
Арик,Кабардино-Балкарская республика,2782
Смоленка,Забайкальский край,5401
Кочетное,Саратовская область,1800
Коротояк,Алтайский край,1117
Надым,Ямало-Ненецкий автономный округ,44600
Первомайское,Томская область,5040
Соколка,Республика Татарстан,1129
Терек,Ставропольский край,1800
Иванаево,Республика Башкортостан,2069
Белебей,Республика Башкортостан,59123
Лиски,Воронежская область,56032
Кардымово,Смоленская область,4650
Элита,Красноярский край,1746
Луга,Ленинградская область,35000
Хаттуни,Чеченская республика,2828
Барагхан,Республика Бурятия,1032
Залесово,Алтайский край,7665
Горноправдинск,Ханты-Мансийский автономный округ - Югра,4630
Пришиб,Астраханская область,1093
Вольное,Республика Крым,1969
Чодраял,Республика Марий Эл,1416
Извара,Ленинградская область,2245
Алгайский,Саратовская область,1227
Благоево,Республика Коми,2123
Новый,Московская область,4314
Быков Отрог,Саратовская область,1341
Акуша,Республика Дагестан,4697
Зональная Станция,Томская область,10301
Томинский,Челябинская область,1370
Евсеево,Московская область,1735
Ижевское,Рязанская область,3340
Гарболово,Ленинградская область,4319
Тимшино,Московская область,1006
Ильино,Нижегородская область,1928
Сангар,Республика Саха (Якутия),3690
Окуловка,Новгородская область,10239
Култаево,Пермский край,5820
Дагомыс,Краснодарский край,20201
Красный Сад,Ростовская область,2916
Байкалово,Свердловская область,6257
Змейская,Республика Северная Осетия - Алания,6711
Белоусово,Калужская область,9775
Солгинский,Архангельская область,1124
Шодрода,Республика Дагестан,1315
Заречный,Тюменская область,1395
Коршево,Воронежская область,1978
Садовый,Ставропольский край,1961
Литвиново,Московская область,3306
Солнечный,Челябинская область,1175
Конезавод имени Буденного,Ростовская область,2421
Великооктябрьский,Тверская область,1930
Обидимо,Тульская область,2209
Ялуторовск,Тюменская область,40701
Умба,Мурманская область,4552
Весенний,Оренбургская область,4106
Новицкое,Приморский край,1641
Партизаны,Республика Крым,1487
Уллу-Теркеме,Республика Дагестан,1536
Екатериновка,Ростовская область,2796
Новосельское,Республика Дагестан,2941
Елшанка Первая,Оренбургская область,1194
Большегривское,Омская область,3487
Мамоны,Иркутская область,5751
Гольяны,Удмуртская республика,1212
Семенов,Нижегородская область,26859
Калья,Свердловская область,5155
Городищи,Владимирская область,5278
Чайкино,Республика Крым,2062
Новоалександровка,Саратовская область,1277
Зауральный,Оренбургская область,1163
ж/д станции Каратун,Республика Татарстан,1551
Боковская,Ростовская область,4550
Сугайкасы,Чувашская республика,1203
Чулым,Новосибирская область,11953
Гора,Свердловская область,1067
Уллуая,Республика Дагестан,6628
Вако-Жиле,Карачаево-Черкесская республика,1279
Семисотка,Республика Крым,1583
Рассвет,Красноярский край,2744
Красноперекопск,Республика Крым,52698
Сухов 2-й,Волгоградская область,1324
Большой Чирклей,Ульяновская область,2524
Красный Восток,Карачаево-Черкесская республика,2992
Карагайлинский,Кемеровская область,4245
Литвиновка,Ростовская область,2661
Калинино,Республика Хакасия,2978
Бельтирское,Республика Хакасия,4755
Джебарики-Хая,Республика Саха (Якутия),1192
Павловка,Республика Башкортостан,4485
Великовечное,Краснодарский край,6222
Вохтога,Вологодская область,5600
Журавлевка,Республика Крым,1513
Гвардейск,Калининградская область,12722
Среднебелая,Амурская область,3787
Усть-Элегест,Республика Тыва,1535
Ветеранов,Республика Дагестан,3102
Мичуринск,Тамбовская область,91623
Иловай-Дмитриевское,Тамбовская область,1415
Булава,Хабаровский край,1458
Успенское,Рязанская область,1126
Тужа,Кировская область,4933
Совхозный,Орловская область,1288
Вычегодский,Архангельская область,12387
Ушаки,Ленинградская область,3049
Хелетури,Республика Дагестан,1295
Красный Октябрь,Курганская область,4423
Громово,Ленинградская область,1929
Придорожная,Краснодарский край,1795
Сарапулка,Свердловская область,1049
Отрадо-Кубанское,Краснодарский край,3789
Мостовской,Краснодарский край,23373
Старая Кулатка,Ульяновская область,4759
Али-Бердуковский,Карачаево-Черкесская республика,5445
Бирикчуль,Республика Хакасия,2267
Трудармейский,Кемеровская область,4365
Балаклава,Севастополь,30182
Варениковское,Ставропольский край,1100
Плещеево,Орловская область,1951
Большемечетный,Ростовская область,1101
Новый Сад,Республика Адыгея,1337
Уразовка,Нижегородская область,1569
Харьковское,Чеченская республика,1815
Киевка,Ставропольский край,1800
Орловский,Забайкальский край,2016
Городище,Оренбургская область,2611
Орта-Стал,Республика Дагестан,2773
Исмагилово,Республика Башкортостан,1131
Форносово,Ленинградская область,6408
Уваровка,Московская область,3354
Абаза,Республика Хакасия,15210
Светлый,Томская область,7902
Пшехская,Краснодарский край,5408
Темиргоевская,Краснодарский край,7326
Зеленогорский,Кемеровская область,4950
Алкино-2,Республика Башкортостан,4803
Овсянниково,Орловская область,1703
Юрты,Иркутская область,5119
Ермолино,Московская область,1250
Михайловка,Республика Крым,5566
Сергино,Ханты-Мансийский автономный округ - Югра,1433
Сергокала,Республика Дагестан,9548
Оленек,Республика Саха (Якутия),2246
Ермолаево,Республика Башкортостан,6896
Ладовская Балка,Ставропольский край,4500
Лесное,Ленинградская область,1071
Жуковка,Московская область,1027
Сорочинск,Оренбургская область,26859
Кармалиновская,Ставропольский край,1500
Малышева,Свердловская область,8983
Ивановка,Волгоградская область,1761
Красненькая,Тамбовская область,4996
Чабанмахи,Республика Дагестан,1083
Верхний Каранай,Республика Дагестан,1610
Унцукуль,Республика Дагестан,6522
Глебовка,Краснодарский край,1426
Комсомолец,Ставропольский край,3100
Трубичино,Новгородская область,3774
Новоорловск,Забайкальский край,2793
Шунга,Костромская область,1294
Кораблино,Рязанская область,11942
Параул,Республика Дагестан,5760
Днепровка,Республика Крым,2068
Игра,Удмуртская республика,20054
Красково,Московская область,21250
Сычево,Московская область,3384
Копановка,Астраханская область,1004
Ищерская,Чеченская республика,4899
Малоархангельск,Орловская область,3216
Измайловка,Краснодарский край,1496
Таловка,Республика Дагестан,1510
Жилетово,Калужская область,3106
Фурманов,Ивановская область,34309
Кабаково,Республика Башкортостан,3090
Ильинское-Усово,Московская область,1504
Истомино,Нижегородская область,1635
Константиновский,Ярославская область,5887
Краснинский,Липецкая область,2025
Малошуйка,Архангельская область,2351
Тепличный,Саратовская область,2073
Носок,Красноярский край,1692
Енотаевка,Астраханская область,7104
Родники,Ивановская область,24662
Ангасяк,Республика Башкортостан,1619
Луговской,Свердловская область,2726
Овсяновская Дорога,Тамбовская область,1407
Юганец,Нижегородская область,2732
Фруктовая,Московская область,1736
Приморск,Красноярский край,1696
Селенга,Республика Бурятия,1380
Кузьмичи,Волгоградская область,2270
Форос,Республика Крым,1844
Кироваул,Республика Дагестан,3026
Ртищевский,Саратовская область,1086
Новатор,Вологодская область,2899
Целинное,Курганская область,5820
Ремонтное,Ростовская область,7370
Зверево,Ростовская область,20984
Мещерское,Пензенская область,1223
Заволжский,Тверская область,2585
Новольвовск,Тульская область,1490
Кочневское,Свердловская область,2298
Белогорье,Воронежская область,1888
Западная Двина,Тверская область,7909
Софрино,Московская область,15827
Новоалексеевская,Краснодарский край,4244
Зеленое,Республика Хакасия,1924
Беломорск,Республика Карелия,10052
Мокшан,Пензенская область,11212
Генеральское,Саратовская область,2042
Кумак,Оренбургская область,1743
Кептени,Республика Саха (Якутия),1008
Кошехабль,Республика Адыгея,7190
Петровка,Республика Крым,6786
Кара-Холь,Республика Тыва,1353
Кропоткин,Краснодарский край,78631
Даховская,Республика Адыгея,1363
Смородино,Белгородская область,1199
Казанское,Тюменская область,8331
Малиновка,Красноярский край,3348
Кошки,Самарская область,7466
Малая Малышевка,Самарская область,2136
Каракулино,Удмуртская республика,4278
Крупской,Краснодарский край,1017
Кузнечики,Московская область,3298
Растуново,Московская область,4046
Боровский,Тюменская область,17026
Слободской,Кировская область,34761
Частые,Пермский край,4963
Малые Базы,Воронежская область,1504
Рахья гп,Ленинградская область,3482
Промышленная,Кемеровская область,17472
Корода,Республика Дагестан,1031
Какмож,Удмуртская республика,1236
Крымск,Краснодарский край,57824
Вольное,Республика Адыгея,3595
Тарутино,Калужская область,4647
Столбище,Республика Татарстан,4208
Шоссейное,Калининградская область,1278
Сенной,Краснодарский край,4656
Приводино,Архангельская область,3003
Сосновка,Республика Мордовия,3223
Звенигово,Республика Марий Эл,11204
Луганское,Республика Крым,1129
Новоджерелиевская,Краснодарский край,5139
Киясово,Удмуртская республика,3153
Полевой,Челябинская область,1543
Антоновка,Белгородская область,3116
Акбердино,Республика Башкортостан,1714
Федино,Московская область,2724
Балашиха,Московская область,215494
Изано,Республика Дагестан,2373
Ленск,Республика Саха (Якутия),23237
Русский Юрмаш,Республика Башкортостан,1155
Озерки,Тверская область,2230
Привольное,Оренбургская область,1099
Красный Яр,Новосибирская область,3407
Бурановка,Алтайский край,1020
Мошково,Новосибирская область,9631
Артем,Приморский край,57765
Сылва,Пермский край,8056
Межгорье,Республика Башкортостан,15861
Волочаевка-1,Еврейская автономная область,1126
Ставрово,Владимирская область,7459
Брут,Республика Северная Осетия - Алания,1506
Ст.Бронницы,Московская область,1174
Уральское,Пермский край,1658
Новое Ибрайкино,Республика Татарстан,1303
Царев,Волгоградская область,1440
Большое Болдино,Нижегородская область,5178
Коноваловка,Самарская область,1086
Верхняя Мактама,Республика Татарстан,1272
Тыргетуй,Забайкальский край,1018
Кулаково,Тюменская область,2744
Михайловка,Астраханская область,2522
Чистюнька,Алтайский край,1187
Канифольный,Красноярский край,1310
Первомайский,Кемеровская область,1063
Новониколаевский,Ростовская область,1079
Верхний Тагил,Свердловская область,11283
Таскаево,Новосибирская область,1018
Александрийская,Ставропольский край,11600
Ермаковское,Красноярский край,8557
Днепровская,Краснодарский край,3160
Кривенковское,Краснодарский край,3047
Войскорово,Ленинградская область,2200
Керженец,Нижегородская область,1132
Тумутук,Республика Татарстан,1411
Акша,Забайкальский край,3352
Эсто-Алтай,Республика Калмыкия,1180
Облучье,Еврейская автономная область,8811
Газ-Сале,Ямало-Ненецкий автономный округ,1735
Балезино,Удмуртская республика,15106
Казачинское,Иркутская область,2595
Советск,Тульская область,7358
Новые дома,Московская область,1630
Кшенский,Курская область,5496
Станция Скуратово,Тульская область,1013
Конезаводский,Омская область,1699
Поназырево,Костромская область,3433
Переяславка,Хабаровский край,7399
Артезиан,Республика Калмыкия,1990
Илсхан-Юрт,Чеченская республика,5889
Должанская,Краснодарский край,6624
Россошь,Ростовская область,1147
Гончаровка,Курская область,2800
Лонгъюган,Ямало-Ненецкий автономный округ,1360
Восточный,Забайкальский край,5257
Будогощь,Ленинградская область,3752
Солдатское,Белгородская область,2209
Никель,Мурманская область,13103
Айлино,Челябинская область,1308
Боград,Республика Хакасия,4345
Староивановка,Белгородская область,1142
Чарышское,Алтайский край,4342
Соленое Займище,Астраханская область,2123
Начало,Воронежская область,2044
Средний Подкумок,Ставропольский край,1400
Пионерский,Самарская область,1034
Вытегра,Вологодская область,10324
Усть-Мая,Республика Саха (Якутия),2521
Отрадный,Ярославская область,1835
Хохряки,Удмуртская республика,5809
Инжавино,Тамбовская область,8051
Верховье,Орловская область,7170
Молодежный,Иркутская область,8708
Хазар,Республика Дагестан,4184
Чажемто,Томская область,1919
Рудничный,Кировская область,3815
Пивовариха,Иркутская область,4566
Пасегово,Кировская область,3002
Альметьевск,Республика Татарстан,151157
Татарка,Омская область,1347
Тюлькино,Пермский край,1218
Ушаковка,Астраханская область,1526
Прималкинское,Кабардино-Балкарская республика,4588
Нытва,Пермский край,18765
Глядянское,Курганская область,3593
Побединское,Республика Адыгея,5334
Кстинино,Кировская область,1451
Кудеярово,Нижегородская область,1906
Уманский,Краснодарский край,1391
Ургала,Республика Башкортостан,1527
Тоншаево,Нижегородская область,5051
Печерск,Смоленская область,3972
Вязовое,Белгородская область,1564
Лесосибирск,Красноярский край,61139
Красная Поляна,Красноярский край,1502
Кузьминские Отвержки,Липецкая область,1579
Языково,Ульяновская область,3526
Новый Сулак,Республика Дагестан,3623
Чапаево,Республика Дагестан,2984
Задоно-Кагальницкая,Ростовская область,2008
Лучаново,Томская область,1333
Подшивалово,Удмуртская республика,1570
Жипхеген,Забайкальский край,1210
Стаево,Тамбовская область,1231
Тайтурка,Иркутская область,4662
Фокино,Нижегородская область,1271
Ракитинка,Омская область,1836
Ситники,Нижегородская область,1201
Верхнетуломский,Мурманская область,1516
Невель,Псковская область,15133
Новое-Солкушино,Чеченская республика,2435
Курми,Республика Дагестан,1529
Гюрюльдеук,Карачаево-Черкесская республика,1363
Чаа-Холь,Республика Тыва,3345
Приморск,Калининградская область,1943
Красный Яр,Ульяновская область,1013
Вербилки,Московская область,7022
Мостовик,Московская область,1995
Графский,Ставропольский край,1300
Казачья Слобода,Рязанская область,2339
Сосново,Ленинградская область,7721
Ножовка,Пермский край,1780
Кузнецкое,Челябинская область,1182
Троицкое,Московская область,5215
Знаменское,Пензенская область,1077
Верхние Осельки,Ленинградская область,1310
Георгиевская,Ставропольский край,7400
Майское,Республика Крым,2016
Зязиков-Юрт,Республика Ингушетия,5296
Долгогусевский,Краснодарский край,1593
Верещагино,Пермский край,22426
Каштак,Забайкальский край,2586
Янтарный,Ростовская область,1495
Ангарск,Иркутская область,225489
Старцево,Красноярский край,3424
Нижнее Инхо,Республика Дагестан,1356
Чапурники,Волгоградская область,1625
Красный Яр,Алтайский край,2784
Райков,Республика Хакасия,1237
Зуткулей,Забайкальский край,1482
Верхопенье,Белгородская область,2133
Карпогоры,Архангельская область,4108
Турали,Республика Дагестан,2010
Воронцовка,Тамбовская область,1003
Дерзиг-Аксы,Республика Тыва,1020
Ключевка,Оренбургская область,1356
Заречное,Республика Крым,4013
Бай-Даг,Республика Тыва,1329
Побочино,Омская область,1017
Верхняя Саниба,Республика Северная Осетия - Алания,1925
Медведево,Республика Крым,1707
Подовинное,Челябинская область,1304
Надежда,Ставропольский край,10800
Уржум,Кировская область,10040
Ульяновка,Пензенская область,1776
Тацинская,Ростовская область,9927
Белое,Республика Адыгея,3088
Старовеличковская,Краснодарский край,14037
Бердигестях,Республика Саха (Якутия),6700
Сажино,Свердловская область,1315
Роза,Челябинская область,12647
Биорки,Московская область,1524
Инза,Ульяновская область,17442
Большая Уча,Удмуртская республика,1823
Волгореченск,Костромская область,15622
Каратузское,Красноярский край,7456
Альбурикент,Республика Дагестан,12705
Текстильщиков,Забайкальский край,48184
Глубокое,Алтайский край,1441
Ростов-на-Дону,Ростовская область,1125299
Ейск,Краснодарский край,83053
дачного хозяйства Архангельское,Московская область,1263
Тула,Тульская область,546953
Кременчуг-Константиновское,Кабардино-Балкарская республика,1384
Новописцово,Ивановская область,2316
Буздяк,Республика Башкортостан,11393
Кировский,Алтайский край,3048
Чечен-Аул,Чеченская республика,9300
Иванино,Курская область,2608
Куруш,Республика Дагестан,8061
Подобас,Кемеровская область,1162
Сыртинский,Челябинская область,1380
Дрязги,Липецкая область,1700
Лебяжье,Красноярский край,1355
Яблоново,Белгородская область,2038
Визинга,Республика Коми,6855
Хрюг,Республика Дагестан,2041
Погар,Брянская область,8397
Голуметь,Иркутская область,1724
Гурьевск,Калининградская область,18196
Красногорьевский,Красноярский край,1512
Владимировка,Амурская область,1087
Джерокайское,Республика Адыгея,1515
Пелым,Свердловская область,3953
Михейково,Смоленская область,1065
Джалка,Чеченская республика,8837
Чепца,Удмуртская республика,1283
Ишалино,Челябинская область,2133
Туринская Слобода,Свердловская область,5955
Бродовое,Воронежская область,1203
Ильинское,Курганская область,1552
Марьино,Курская область,1555
Ухманы,Чувашская республика,1019
Аллерой,Чеченская республика,14532
Светлоозерское,Алтайский край,1143
Савельевская,Чеченская республика,2530
Ахуново,Республика Башкортостан,3203
Новоселенгинск,Республика Бурятия,2198
Прохладное,Приморский край,2049
Кижеватово,Пензенская область,3355
Осиково,Ростовская область,1117
Боброво,Архангельская область,1277
Новосергиевка,Оренбургская область,13875
Глебычево,Ленинградская область,3340
Мессажай,Краснодарский край,1438
Увельский,Челябинская область,11081
Ольховец,Липецкая область,1275
Зайково,Свердловская область,4344
Незнамово,Белгородская область,1385
Домашка,Самарская область,2728
Боровое,Челябинская область,2721
Булун,Республика Саха (Якутия),1166
Шишкино,Ставропольский край,1400
Новопетровское,Московская область,4883
Черная Речка,Хабаровский край,1346
Бородыновка,Ставропольский край,2600
Шаблыкино,Орловская область,2929
Пролетарский,Ставропольский край,1800
Ишня,Ярославская область,2981
Майданское,Республика Дагестан,2641
Орша,Тверская область,2147
Ярцево,Красноярский край,1610
Копорье,Ленинградская область,1827
Бахилово,Самарская область,1171
Вольное,Краснодарский край,3607
Балашейка,Самарская область,2708
Экимчан,Амурская область,1011
Эльхотово,Республика Северная Осетия - Алания,12471
Ильмень,Волгоградская область,1058
Черновка,Самарская область,2270
Аушигер,Кабардино-Балкарская республика,4948
Новое,Владимирская область,1762
Большие Уки,Омская область,3486
Асяново,Республика Башкортостан,1587
Умет,Республика Мордовия,2544
Старая Ладога,Ленинградская область,1883
Гиляны,Чеченская республика,1552
Лужники,Московская область,1841
Тимирязева,Республика Адыгея,1163
Лугавское,Красноярский край,1490
Шилово,Рязанская область,14553
Петропавловка,Республика Бурятия,7648
Новоржев,Псковская область,3293
Калиниха,Нижегородская область,1586
Нейво-Рудянка,Свердловская область,2599
Сосково,Орловская область,2124
Челутай,Республика Бурятия,1909
Эльтон,Волгоградская область,2058
Рефтинский,Свердловская область,16416
Иртышский,Омская область,3678
Керамкомбинат,Новосибирская область,1818
Сортавала,Республика Карелия,18762
Татариново,Московская область,1267
Таежный,Ханты-Мансийский автономный округ - Югра,2121
Волжский,Волгоградская область,326841
Городец,Нижегородская область,33089
Песьянка,Пермский край,2726
Вача,Нижегородская область,5641
Раковка,Приморский край,1243
Нефтекамск,Республика Башкортостан,140111
Учебное Хозяйство Кубань 1 отд,Краснодарский край,1944
Старая Ведуга,Воронежская область,1014
совхоза Буденновец,Московская область,1268
Красный Яр,Саратовская область,4527
Знаменка,Красноярский край,2262
Издешково,Смоленская область,1663
Шиверский,Красноярский край,1110
Калачево,Кемеровская область,1930
Ишлы,Республика Башкортостан,1034
Шуя,Ивановская область,58723
Чемал,Республика Алтай,4389
Левокумское,Ставропольский край,10000
Горы,Московская область,1080
Октябрьский,Московская область,13376
Кудьма,Нижегородская область,2445
Лермонтовка,Хабаровский край,3223
Богословка,Тамбовская область,1324
Чунояр,Красноярский край,3135
Новое Девяткино,Ленинградская область,19603
Микулино,Московская область,1455
Кокрек,Республика Дагестан,4807
Юг,Пермский край,2406
Большие Березники,Республика Мордовия,5947
Синегорский,Ростовская область,6274
Рамено,Самарская область,1261
Коряжма,Архангельская область,36224
Сизовка,Республика Крым,1814
Новоивановка,Краснодарский край,1012
Мышкин,Ярославская область,5946
Петров Вал,Волгоградская область,12528
Вологда 20,Вологодская область,1197
Игумново,Московская область,1328
Фабричное,Свердловская область,1083
Лесной,Рязанская область,7687
Октябрьск,Самарская область,26512
Лескен,Республика Северная Осетия - Алания,2158
Синявино,Ленинградская область,4304
Агишты,Чеченская республика,1487
Булыга-Фадеево,Приморский край,1517
Каскара,Тюменская область,8153
Глазуновская,Волгоградская область,1160
Калевала,Республика Карелия,3902
Глазок,Тамбовская область,1003
Некрасово,Республика Крым,1043
Новая Деревня,Ставропольский край,2900
Донское,Ставропольский край,14600
Выездное,Нижегородская область,6456
Костромская,Краснодарский край,1890
Новомирский,Ростовская область,1388
Пача,Кемеровская область,1224
Досатуй,Забайкальский край,1310
Ташбулатово,Республика Башкортостан,1377
Озерно-Кузнецово,Алтайский край,1067
Кузнечиха,Республика Татарстан,1988
Хатассы,Республика Саха (Якутия),5348
Нарга,Томская область,1177
Ханар,Республика Дагестан,2406
Шарыпово,Красноярский край,38561
Бор,Воронежская область,1174
Большое Куземкино,Ленинградская область,1327
Большая Атня,Республика Татарстан,3352
Чистополье,Республика Крым,1706
Злынка,Брянская область,5335
Лобва,Свердловская область,7526
Липецк,Липецкая область,509420
Подсинее,Республика Хакасия,3690
Молочное,Вологодская область,8242
Малиновка,Кемеровская область,8207
Фий,Республика Дагестан,1601
Бабаево,Вологодская область,11532
Урмаево,Чувашская республика,2851
Кубанская,Краснодарский край,2563
Краснояр 1,Пермский край,1524
Зирган,Республика Башкортостан,4969
Беленихино,Белгородская область,1102
Новокручининский,Забайкальский край,1443
Мостовское,Курганская область,1973
Старая Руза,Московская область,1834
Белогорка,Ленинградская область,2356
Анопино,Владимирская область,1924
Арыг-Узуу,Республика Тыва,1387
Насыпное,Республика Крым,1581
Куба,Кабардино-Балкарская республика,5193
Корпуса,Московская область,1130
Шелехов,Иркутская область,48460
Октябрьский,Кировская область,3534
Алтышево,Чувашская республика,1505
Верхнеказымский,Ханты-Мансийский автономный округ - Югра,1337
Борисовка,Челябинская область,2419
Старая Станица,Ростовская область,6880
Демино,Ставропольский край,2800
Поливянка,Ростовская область,1121
Буренка,Пермский край,1132
Новостройка,Волгоградская область,2454
Железнодорожный,Иркутская область,7654
Краснодар,Краснодарский край,987828
Инаркой,Кабардино-Балкарская республика,1463
Ваулово,Московская область,4190
Левошево,Московская область,1175
Чусовитино,Кемеровская область,1269
Чистые Ключи,Иркутская область,1146
Бураковский,Краснодарский край,1695
Панское,Тамбовская область,1007
Иловка,Белгородская область,3118
Константиновская,Краснодарский край,4109
Ташелка,Самарская область,1448
Калининский,Ростовская область,1314
Перелешино,Воронежская область,3523
Светлогорск,Калининградская область,12812
Михайловский Перевал,Краснодарский край,1301
Новомосковск,Тульская область,134901
Чуприяновка,Тверская область,1422
Соломенское,Ставропольский край,2400
Уркарах,Республика Дагестан,4394
Сараса,Алтайский край,1036
Платово,Ростовская область,1617
